
Param1,Param2,Power,Gamma Point,Harmonic Number,A1 Real,A1 Imaginary,B1 Real,B1 Imaginary,A2 Real,A2 Imaginary,B2 Real,B2 Imaginary,V1,I1,V2,I2,,,,,,,,,,,,,,,,
0.1,6,-18,5,3,2.19E-10,1.16E-09,-0.0047225,0.0069032,0.00026008,0.00013072,-0.012471,0.024789,-0.3,2E-07,3,0.049669,,,,,,,,,,,,,,,,
0.1,6,-24,6,1,0.089231,5.57E-09,-0.028027,-0.061475,-0.029805,-0.049197,0.0072535,0.25673,-0.3,9.16E-09,3,0.039558,,,,,,,,,,,,,,,,
0.1,6,-24,6,2,5.7E-10,-2.55E-11,0.0029801,0.0027189,3.62E-05,-9.41E-05,0.013448,0.0051864,-0.3,9.16E-09,3,0.039558,,,,,,,,,,,,,,,,
0.1,6,-24,6,3,-1.2E-11,1.59E-10,-0.00085368,0.00073417,2.93E-05,2.6E-05,-0.0024818,0.0027919,-0.3,9.16E-09,3,0.039558,,,,,,,,,,,,,,,,
0.1,6,-23,6,1,0.10012,6.11E-09,-0.030748,-0.069775,-0.032527,-0.054139,0.0069255,0.28192,-0.3,2.07E-08,3,0.041481,,,,,,,,,,,,,,,,
0.1,6,-23,6,2,7.45E-10,-3.61E-11,0.0039072,0.0035425,4.7E-05,-0.00012311,0.017603,0.0067258,-0.3,2.07E-08,3,0.041481,,,,,,,,,,,,,,,,
0.1,6,-23,6,3,-1.09E-11,2.36E-10,-0.0012363,0.0011275,4.46E-05,3.74E-05,-0.0035657,0.0042548,-0.3,2.07E-08,3,0.041481,,,,,,,,,,,,,,,,
0.1,6,-22,6,1,0.11233,6.64E-09,-0.033561,-0.079377,-0.035246,-0.059317,0.0060666,0.30802,-0.3,3.79E-08,3,0.043817,,,,,,,,,,,,,,,,
0.1,6,-22,6,2,9.5E-10,-4.19E-11,0.0049643,0.0045477,6.08E-05,-0.00015684,0.022425,0.008701,-0.3,3.79E-08,3,0.043817,,,,,,,,,,,,,,,,
0.1,6,-22,6,3,-5.27E-12,3.33E-10,-0.0016919,0.0016372,6.43E-05,5.07E-05,-0.0048383,0.0061323,-0.3,3.79E-08,3,0.043817,,,,,,,,,,,,,,,,
0.1,6,-21,6,1,0.12604,7.19E-09,-0.036447,-0.090483,-0.037912,-0.064711,0.0045234,0.33484,-0.3,6.1E-08,3,0.046438,,,,,,,,,,,,,,,,
0.1,6,-21,6,2,1.17E-09,-2.65E-11,0.0059682,0.005697,7.84E-05,-0.00019065,0.027258,0.011225,-0.3,6.1E-08,3,0.046438,,,,,,,,,,,,,,,,
0.1,6,-21,6,3,8.68E-12,4.45E-10,-0.0021797,0.0022641,8.82E-05,6.46E-05,-0.0061643,0.0084096,-0.3,6.1E-08,3,0.046438,,,,,,,,,,,,,,,,
0.1,6,-20,6,1,0.14142,7.75E-09,-0.03929,-0.10342,-0.040361,-0.070161,0.0020152,0.36139,-0.3,9.14E-08,3,0.049162,,,,,,,,,,,,,,,,
0.1,6,-20,6,2,1.37E-09,2.57E-11,0.0067109,0.0069593,0.00010105,-0.00021939,0.031367,0.014464,-0.3,9.14E-08,3,0.049162,,,,,,,,,,,,,,,,
0.1,6,-20,6,3,3.69E-11,5.84E-10,-0.0027413,0.0031037,0.00011981,8.01E-05,-0.0076392,0.011419,-0.3,9.14E-08,3,0.049162,,,,,,,,,,,,,,,,
0.1,6,-19,6,1,0.15868,8.21E-09,-0.04188,-0.11855,-0.042402,-0.075374,-0.0015531,0.38614,-0.3,1.31E-07,3,0.05183,,,,,,,,,,,,,,,,
0.1,6,-19,6,2,1.52E-09,1.26E-10,0.006987,0.008236,0.00012826,-0.00023741,0.033942,0.018357,-0.3,1.31E-07,3,0.05183,,,,,,,,,,,,,,,,
0.1,6,-19,6,3,7.42E-11,7.69E-10,-0.0034757,0.004217,0.00016162,0.00010023,-0.0095609,0.015404,-0.3,1.31E-07,3,0.05183,,,,,,,,,,,,,,,,
0.1,6,-18,6,1,0.17804,8.61E-09,-0.044014,-0.1362,-0.043962,-0.080093,-0.0059024,0.4079,-0.3,1.97E-07,3,0.054325,,,,,,,,,,,,,,,,
0.1,6,-18,6,2,1.61E-09,2.6E-10,0.006743,0.0093395,0.00015617,-0.00024174,0.03456,0.022347,-0.3,1.97E-07,3,0.054325,,,,,,,,,,,,,,,,
0.1,6,-18,6,3,1E-10,1.01E-09,-0.0045398,0.0055471,0.00021245,0.00013073,-0.01247,0.020249,-0.3,1.97E-07,3,0.054325,,,,,,,,,,,,,,,,
0.1,6,-24,7,1,0.089231,4.94E-09,-0.022378,-0.062192,0.0024755,-0.05367,-0.0087606,0.23796,-0.3,1.38E-08,3,0.040464,,,,,,,,,,,,,,,,
0.1,6,-24,7,2,6.53E-10,1.1E-11,0.0032109,0.0033216,4.82E-05,-0.0001049,0.014998,0.0068934,-0.3,1.38E-08,3,0.040464,,,,,,,,,,,,,,,,
0.1,6,-24,7,3,-3.72E-11,1.86E-10,-0.001115,0.0007426,3.08E-05,3.5E-05,-0.0033374,0.0029354,-0.3,1.38E-08,3,0.040464,,,,,,,,,,,,,,,,
0.1,6,-23,7,1,0.10012,5.4E-09,-0.024454,-0.070576,0.0028821,-0.058799,-0.010351,0.26071,-0.3,2.77E-08,3,0.042632,,,,,,,,,,,,,,,,
0.1,6,-23,7,2,8.5E-10,7.4E-12,0.0042147,0.0042847,6.15E-05,-0.00013701,0.019589,0.0087978,-0.3,2.77E-08,3,0.042632,,,,,,,,,,,,,,,,
0.1,6,-23,7,3,-4.82E-11,2.68E-10,-0.0015806,0.0010993,4.53E-05,4.94E-05,-0.0047103,0.0043142,-0.3,2.77E-08,3,0.042632,,,,,,,,,,,,,,,,
0.1,6,-22,7,1,0.11233,5.88E-09,-0.026632,-0.080162,0.0033572,-0.064229,-0.012233,0.2848,-0.3,4.66E-08,3,0.045204,,,,,,,,,,,,,,,,
0.1,6,-22,7,2,1.07E-09,6.52E-12,0.005333,0.0053955,7.72E-05,-0.00017312,0.024752,0.011045,-0.3,4.66E-08,3,0.045204,,,,,,,,,,,,,,,,
0.1,6,-22,7,3,-6.04E-11,3.59E-10,-0.0020977,0.0014944,6.13E-05,6.54E-05,-0.0062357,0.0058424,-0.3,4.66E-08,3,0.045204,,,,,,,,,,,,,,,,
0.1,6,-21,7,1,0.12604,6.36E-09,-0.028908,-0.09112,0.0039161,-0.06996,-0.014474,0.31021,-0.3,7.13E-08,3,0.048117,,,,,,,,,,,,,,,,
